SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
COc1ccc(CCC(=O)N2CCCCC2c2nc(-c3cccc(F)c3)c[nH]2)cc1F,425.471,3.729,1,58.22,6
Cc1coc(C)c1C(=O)N1CCCC(O)(Cc2nncn2C)C1,318.371,-0.453,1,84.39,3
COc1cc(C(=O)NCc2cccnc2N2CCCCC2)sn1,332.421,2.1,1,67.35,5
CC(C)Cn1ncnc1CN1CCCC(O)(Cc2nncn2C)C1,333.432,-0.879,1,84.89,6
CN1C[C@@H]2[C@@H](CCCN2C(=O)NCc2nn(-c3ccccc3)c3c2CCC3)C1=O,393.482,2.395,1,70.47,3
CCC(NC(=O)c1cncnc1C)(C(=O)O)c1ccccc1,299.324,1.718,2,92.18,5
CCCN(Cc1ccccc1)C(=O)Nc1cc(N2CCCC2=O)ccc1Cl,385.887,3.978,1,52.65,6
CN1C(=O)CC[C@@H](NC(=O)c2cncc(Cl)c2)[C@@H]1c1ccnn1C,347.799,0.486,1,80.12,3
CCn1nccc1C(=O)N[C@H]1CCO[C@H]1c1nc(C)n[nH]1,290.321,-0.645,2,97.72,4
Cn1nccc1[C@@H]1OCCC[C@H]1C(=O)Nc1c[nH]c(C(N)=O)c1,317.343,-0.954,3,115.03,4
COc1ccc(CCC(=O)N2CCCCC2c2nc(-c3cccc(F)c3)c[nH]2)cc1Cl,441.926,4.269,1,58.22,6
Cn1cnnc1CC1(O)CCCN(C(=O)c2ccnn2C2CCCC2)C1,358.438,-0.752,1,89.07,4
Cc1cc(C(=O)N(C)Cc2nc3cc(C(F)(F)F)ccc3[nH]2)ncn1,349.31,1.68,1,74.77,4
CCc1ccc(C(=O)N2CCS(=O)(=O)CC2CC(=O)NC)cc1,338.422,0.324,1,83.55,4
CC(=O)NCC1CCn2ncc(C(=O)Nc3ccc(C)cc3Cl)c2C1,360.838,0.644,2,76.02,4
CCC(C)(NC(=O)c1csc(-c2ccc(OC)cc2)n1)C(=O)O,334.39,3.369,2,88.52,6
CN(Cc1cccs1)C(=O)Nc1cc(N2CCCC2=O)ccc1Cl,363.862,2.726,1,52.65,4
Cc1n[nH]cc1CNC(=O)C1CCc2ccccc2C1,269.342,1.809,2,57.78,3
CCOc1cc2c(cc1NC(=O)CNC(=O)CCC(C)C)OC(C)C2,348.437,2.89,2,76.66,8
Cc1ncoc1CNC(=O)c1ncoc1C(F)(F)F,275.184,-0.722,1,81.16,4
COc1coc(C(=O)NC2CC(F)(F)C2)cc1=O,259.206,-0.741,1,64.63,3
CC(C)(C)c1csc(CC2CCN(C(=O)c3cc[nH]c3)CC2)n1,331.476,2.921,1,48.99,4
Cc1nn(C)c(C)c1C(NC(=O)c1ccc(C(=O)O)o1)C(F)(F)F,345.274,1.416,2,97.36,5
COC1CCCCN(CC(=O)Nc2cn(-c3ccccc3)nc2C)C1=O,356.419,2.146,1,76.46,5
CN1CCC(N2CCC(NC(=O)c3ncoc3C3CC3)CC2)C1=O,332.397,-0.426,1,78.68,4
CC(C)n1nccc1[C@@H]1NC(=O)CC[C@H]1NC(=O)c1cccnn1,328.369,-0.942,2,101.8,4
COCCOc1ccc(C(=O)N2CCCC(n3cncn3)C2)cc1,330.382,0.52,0,69.48,6
Cn1nccc1[C@@H]1NC(=O)CC[C@H]1NC(=O)c1cncc(Cl)c1,333.773,-0.159,2,88.91,3
CCOc1cc2c(cc1NC(=O)CNC(=O)c1cc(F)cc(F)c1)OC(C)C2,390.381,3.113,2,76.66,6
CO[C@H]1C[C@@H](C(=O)N2CCCC2)N(C(=O)c2ccc(C(C)=O)s2)C1,350.433,0.52,0,66.92,4
CC(C)N(C)Cc1ccc(NC(=O)C2CCS(=O)(=O)C2)cc1,324.438,0.593,1,66.48,5
O=C(NCc1nnc2ccccn12)N1CCC(Nc2ccc3nccn3n2)C1,377.403,0.341,2,104.75,4
CCCCn1c(S(=O)(=O)Cc2cc(C)ccc2OC)nc(C)c1C,350.476,3.803,0,61.19,7
Cc1noc(C)c1CCC(=O)N[C@@H]1CC(=O)N(C)[C@H]1c1ccnn1C,345.396,-0.279,1,93.26,5
Cc1cc(C(=O)NCc2cccnc2N2CCCCC2)ns1,316.421,2.374,1,58.12,4
Clc1ccc(-c2nnc(SCCOc3ccccc3Cl)[nH]2)cc1,366.265,5.148,1,50.8,6
COC(=O)c1cc(NS(=O)(=O)c2cc(OC)ccc2OC)ccc1Cl,385.819,2.881,1,90.93,6
O=C(NCCC1CCS(=O)(=O)CC1)N1CCCC2(CCCC2)CC1,356.523,2.012,1,66.48,3
Cc1n[nH]c([C@@H]2OCC[C@@H]2NC(=O)c2cccn2C2CC2)n1,301.344,0.563,2,84.83,4
Cc1cccc(NC(=O)C2CCCN(C(=O)c3ccc(=O)n(C)c3)C2)n1,354.403,0.596,1,82.61,3
